Case Type,Filing Date,Registration Date,CNR Number,First Hearing Date,Decision Date,Case Status,Nature of Disposal,Under Act,Under Section
466,10/11/2023,6/27/2023,MHPU010063022023,26/08/2023,26/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
467,31/07/2023,6/14/2023,MHPU010101462023,26/02/2023,06/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
468,24/08/2023,12/20/2023,MHPU010074592023,05/04/2024,29/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
469,26/09/2023,8/18/2023,MHPU010258492022,14/11/2023,03/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
470,20/03/2023,5/26/2023,MHPU010074592023,10/02/2023,25/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
471,22/08/2023,9/17/2023,MHPU010176002023,17/12/2023,17/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
472,01/05/2023,8/17/2023,MHPU010043232023,30/03/2024,28/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,166
473,30/08/2023,4/29/2023,MHPU010043232023,21/06/2023,21/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,40
474,04/09/2023,10/31/2023,MHPU010063022023,04/07/2024,22/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
475,28/07/2023,12/22/2023,MHPU010155972023,19/10/2023,30/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,40
476,25/06/2023,1/27/2023,MHPU010112742023,27/10/2023,26/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
477,17/04/2023,8/5/2023,MHPU010060312023,16/07/2023,14/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,140
478,27/04/2023,3/3/2023,MHPU010112742023,09/07/2023,24/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,166
479,28/11/2023,6/28/2023,MHPU010086342023,02/04/2024,25/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
480,17/08/2023,8/19/2023,MHPU010000532023,20/05/2023,18/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,151 dar
481,13/12/2023,12/16/2023,MHPU010000532023,03/10/2023,21/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
482,03/11/2023,3/29/2023,MHPU010135842023,18/05/2024,23/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,40
483,03/09/2023,4/15/2023,MHPU010101462023,05/10/2023,23/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,40
484,18/06/2023,1/18/2023,MHPU010135842023,08/02/2023,27/09/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,o21
485,04/02/2023,9/27/2023,MHPU010064392023,16/01/2024,21/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,o21
486,12/01/2023,8/27/2023,MHPU010063022023,17/08/2024,28/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,151 dar
487,05/01/2023,4/3/2023,MHPU010064392023,09/01/2023,19/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
488,13/02/2023,6/16/2023,MHPU010135842023,25/01/2023,25/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
489,03/03/2023,9/12/2023,MHPU010063022023,10/04/2023,16/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
490,22/03/2023,9/9/2023,MHPU010135842023,01/06/2024,23/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,o21
491,29/08/2023,9/6/2023,MHPU010101462023,30/05/2024,03/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,140
492,10/06/2023,8/22/2023,MHPU010043232023,09/08/2023,15/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,151 dar
493,11/09/2023,1/25/2023,MHPU010112742023,23/03/2024,26/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
494,06/07/2023,11/3/2023,MHPU010043232023,11/04/2023,08/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,166
495,12/01/2023,6/9/2023,MHPU010258492022,12/05/2024,09/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,151 dar
496,06/11/2023,5/5/2023,MHPU010063022023,20/05/2024,11/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,40
497,02/01/2023,3/20/2023,MHPU010000532023,12/03/2023,17/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
498,08/08/2023,6/14/2023,MHPU010176002023,23/06/2023,19/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
499,16/11/2023,8/2/2023,MHPU010135842023,29/03/2023,17/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
500,13/04/2023,12/16/2023,MHPU010074592023,15/06/2023,11/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
501,30/05/2023,2/10/2023,MHPU010101462023,04/10/2023,30/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
502,16/12/2023,7/31/2023,MHPU010064392023,04/05/2023,24/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
503,05/09/2023,5/6/2023,MHPU010074592023,06/01/2024,09/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
504,04/12/2023,9/2/2023,MHPU010101462023,09/06/2024,21/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
505,17/08/2023,6/30/2023,MHPU010101462023,05/08/2023,04/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
506,12/01/2023,4/19/2023,MHPU010176002023,17/06/2023,04/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,o21
507,01/08/2023,10/28/2023,MHPU010170062023,11/06/2023,16/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
508,11/07/2023,9/29/2023,MHPU010155972023,20/06/2023,19/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
509,04/03/2023,5/27/2023,MHPU010086342023,27/07/2023,24/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,151 dar
510,30/03/2023,11/4/2023,MHPU010043232023,13/02/2023,07/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
511,15/10/2023,3/11/2023,MHPU010043232023,10/05/2024,31/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
512,31/08/2023,8/12/2023,MHPU010000532023,02/07/2023,16/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,140
513,13/05/2023,11/12/2023,MHPU010060312023,13/02/2023,19/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,40
514,15/05/2023,7/29/2023,MHPU010176002023,27/07/2023,14/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
515,18/06/2023,1/7/2023,MHPU010060312023,02/08/2024,21/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,140
516,08/01/2023,6/25/2023,MHPU010063022023,02/08/2023,25/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
517,24/01/2023,5/11/2023,MHPU010258492022,30/07/2023,17/11/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
518,19/08/2023,6/19/2023,MHPU010043232023,05/01/2023,13/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
519,30/01/2023,6/17/2023,MHPU010000532023,13/01/2023,23/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
520,15/11/2023,5/2/2023,MHPU010135842023,01/03/2023,06/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,140
521,23/09/2023,3/23/2023,MHPU010043232023,12/10/2023,26/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
522,28/05/2023,6/8/2023,MHPU010112742023,03/02/2023,07/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
523,05/12/2023,3/21/2023,MHPU010060312023,16/01/2024,27/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
524,31/10/2023,3/17/2023,MHPU010074592023,26/12/2023,23/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,40
525,05/01/2023,3/16/2023,MHPU010101462023,17/03/2023,19/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
526,19/06/2023,2/19/2023,MHPU010135842023,06/06/2024,19/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,166
527,12/09/2023,12/16/2023,MHPU010074592023,28/07/2024,16/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
528,04/09/2023,10/14/2023,MHPU010258492022,01/05/2023,03/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
529,10/03/2023,5/12/2023,MHPU010086342023,25/08/2023,13/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
530,05/03/2023,10/23/2023,MHPU010170062023,21/08/2024,18/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
531,14/07/2023,12/14/2023,MHPU010043232023,15/07/2023,24/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,o21
532,20/11/2023,12/5/2023,MHPU010074592023,15/07/2024,18/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
533,22/04/2023,5/27/2023,MHPU010258492022,09/09/2023,28/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
534,12/11/2023,1/26/2023,MHPU010000532023,16/03/2024,27/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,o21
535,11/03/2023,1/5/2023,MHPU010101462023,03/11/2023,21/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,166
536,01/11/2023,12/28/2023,MHPU010170062023,09/06/2024,18/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,151 dar
537,30/01/2023,8/1/2023,MHPU010063022023,21/03/2023,22/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
538,16/11/2023,10/4/2023,MHPU010064392023,18/03/2024,19/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
539,18/03/2023,9/22/2023,MHPU010043232023,21/07/2024,26/09/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,140
540,03/10/2023,11/27/2023,MHPU010060312023,03/03/2023,27/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
541,01/02/2023,8/17/2023,MHPU010064392023,10/10/2023,19/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
542,18/12/2023,10/18/2023,MHPU010135842023,31/01/2024,04/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
543,19/10/2023,1/20/2023,MHPU010155972023,09/04/2023,25/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
544,21/03/2023,5/1/2023,MHPU010064392023,29/08/2024,31/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
545,30/01/2023,3/11/2023,MHPU010170062023,12/10/2023,03/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
546,14/05/2023,1/24/2023,MHPU010086342023,14/06/2024,22/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,o21
547,27/10/2023,4/3/2023,MHPU010000532023,10/05/2024,08/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
548,13/11/2023,1/19/2023,MHPU010064392023,14/08/2024,15/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
549,22/08/2023,5/23/2023,MHPU010170062023,18/02/2023,28/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
550,30/06/2023,4/22/2023,MHPU010074592023,06/12/2023,10/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
551,09/02/2023,5/8/2023,MHPU010064392023,16/01/2023,19/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
552,10/07/2023,8/18/2023,MHPU010170062023,04/04/2024,19/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,166
553,06/04/2023,5/12/2023,MHPU010074592023,15/03/2024,30/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
554,19/10/2023,3/5/2023,MHPU010000532023,10/01/2024,20/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,151 dar
555,07/12/2023,9/13/2023,MHPU010043232023,24/09/2023,27/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,o21
556,12/07/2023,1/25/2023,MHPU010000532023,28/04/2024,28/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,o21
557,12/02/2023,12/1/2023,MHPU010135842023,05/05/2024,22/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,40
558,10/08/2023,12/23/2023,MHPU010000532023,29/01/2024,13/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
559,23/02/2023,6/14/2023,MHPU010101462023,06/02/2023,15/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,151 dar
560,01/09/2023,5/12/2023,MHPU010258492022,15/04/2024,28/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
561,22/05/2023,6/12/2023,MHPU010176002023,30/01/2024,20/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
562,19/05/2023,4/5/2023,MHPU010063022023,28/12/2023,31/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,o21
563,27/01/2023,10/23/2023,MHPU010000532023,04/01/2024,19/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,166
564,24/03/2023,9/2/2023,MHPU010086342023,01/09/2024,18/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
565,20/08/2023,12/22/2023,MHPU010063022023,04/04/2024,10/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
566,08/07/2023,2/5/2023,MHPU010258492022,18/03/2024,08/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,o21
567,03/11/2023,12/5/2023,MHPU010112742023,27/11/2023,29/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,140
568,16/09/2023,4/28/2023,MHPU010112742023,20/04/2024,20/09/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,151 dar
569,22/08/2023,6/19/2023,MHPU010155972023,19/06/2023,08/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,166
570,04/01/2023,7/31/2023,MHPU010258492022,27/06/2023,18/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
571,02/05/2023,10/24/2023,MHPU010101462023,26/05/2024,06/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,151 dar
572,28/05/2023,2/13/2023,MHPU010074592023,06/03/2024,19/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
573,12/03/2023,11/27/2023,MHPU010135842023,11/09/2024,06/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,140
574,08/03/2023,4/27/2023,MHPU010000532023,22/02/2023,29/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
575,29/04/2023,5/9/2023,MHPU010135842023,27/02/2024,26/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,140
576,19/10/2023,8/14/2023,MHPU010101462023,17/05/2023,22/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
577,05/12/2023,11/3/2023,MHPU010155972023,08/06/2024,24/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
578,03/03/2023,1/14/2023,MHPU010043232023,13/09/2023,12/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,166
579,14/11/2023,4/12/2023,MHPU010060312023,08/09/2023,18/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,151 dar
580,21/05/2023,2/19/2023,MHPU010086342023,17/12/2023,19/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
581,29/09/2023,7/9/2023,MHPU010135842023,05/02/2024,04/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
582,24/09/2023,10/28/2023,MHPU010170062023,15/12/2023,05/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,140
583,26/08/2023,12/30/2023,MHPU010074592023,26/05/2023,06/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
584,13/06/2023,7/24/2023,MHPU010086342023,15/01/2023,05/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,40
585,24/10/2023,10/31/2023,MHPU010000532023,27/05/2023,25/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,140
586,16/04/2023,7/19/2023,MHPU010064392023,06/03/2023,25/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,40
587,04/05/2023,8/12/2023,MHPU010101462023,30/01/2024,13/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,MOTOR VEHICLES ACT,166
588,08/12/2023,2/24/2023,MHPU010135842023,24/04/2023,28/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,40
589,24/06/2023,11/30/2023,MHPU010086342023,20/07/2024,28/10/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,166
590,25/01/2023,11/11/2023,MHPU010176002023,27/06/2023,06/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CIVIL PROCEDURE,166
591,31/07/2023,5/29/2023,MHPU010258492022,16/08/2023,22/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CIVIL PROCEDURE,o21
592,28/11/2023,10/9/2023,MHPU010176002023,04/08/2024,16/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,151 dar
593,12/08/2023,12/11/2023,MHPU010086342023,03/01/2023,09/12/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
594,14/07/2023,6/6/2023,MHPU010060312023,27/01/2023,01/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,140
595,16/06/2023,5/9/2023,MHPU010064392023,05/04/2024,26/11/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,40
596,08/03/2023,1/27/2023,MHPU010170062023,30/04/2023,26/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CRIMINAL PROCEDURE,166
597,21/01/2023,3/4/2023,MHPU010258492022,27/01/2024,20/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,151 dar
598,21/02/2023,4/29/2023,MHPU010064392023,09/04/2023,28/10/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,o21
599,16/09/2023,11/29/2023,MHPU010086342023,16/08/2023,08/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,140
600,20/11/2023,9/16/2023,MHPU010135842023,08/10/2023,13/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,140
601,07/08/2023,9/19/2023,MHPU010155972023,06/07/2023,18/11/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
602,12/05/2023,10/15/2023,MHPU010064392023,22/01/2024,28/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
603,05/01/2023,8/10/2023,MHPU010170062023,06/02/2023,07/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,166
604,17/05/2023,8/7/2023,MHPU010064392023,04/01/2023,09/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,o21
605,29/05/2023,11/10/2023,MHPU010135842023,28/01/2023,25/11/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CIVIL PROCEDURE,166
606,02/09/2023,2/6/2023,MHPU010086342023,10/04/2023,09/12/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,40
607,08/12/2023,5/28/2023,MHPU010063022023,13/03/2024,19/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,CODE OF CRIMINAL PROCEDURE,140
608,14/11/2023,10/16/2023,MHPU010170062023,30/05/2024,19/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,Motor Vehicles (Driving) Regulations- 2017,151 dar
609,09/09/2023,6/20/2023,MHPU010258492022,13/09/2024,29/12/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,o21
610,23/10/2023,12/30/2023,MHPU010063022023,21/07/2023,11/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,140
611,07/01/2023,11/22/2023,MHPU010086342023,06/08/2023,23/12/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,Motor Vehicles (Driving) Regulations- 2017,40
612,30/05/2023,7/24/2023,MHPU010043232023,20/06/2024,18/09/2023,Case disposed,Uncontested--LOKADALAT,CODE OF CRIMINAL PROCEDURE,40
613,03/06/2023,4/29/2023,MHPU010043232023,21/07/2023,13/10/2023,Case disposed,Uncontested--LOKADALAT,Motor Vehicles (Driving) Regulations- 2017,151 dar
614,08/03/2023,9/22/2023,MHPU010170062023,02/11/2023,11/12/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,151 dar
615,20/07/2023,3/5/2023,MHPU010101462023,13/04/2023,16/10/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,CODE OF CRIMINAL PROCEDURE,40
616,16/04/2023,1/13/2023,MHPU010101462023,29/05/2023,03/10/2023,Case disposed,Uncontested--LOKADALAT,MOTOR VEHICLES ACT,166
617,04/08/2023,9/12/2023,MHPU010112742023,02/07/2024,20/10/2023,Case disposed,Uncontested--SETTLEMENT BY MEDIATION,CODE OF CIVIL PROCEDURE,166
618,02/05/2023,3/16/2023,MHPU010000532023,14/06/2023,16/09/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,Motor Vehicles (Driving) Regulations- 2017,40
619,05/05/2023,9/20/2023,MHPU010258492022,10/07/2024,30/09/2023,Case disposed,Uncontested--TRANSFERRED / MADE OVER,MOTOR VEHICLES ACT,o21
620,29/12/2023,1/24/2023,MHPU010074592023,19/01/2023,21/11/2023,Case disposed,Contested--ALLOWED / GRANTED AFTER FULL HEARING,MOTOR VEHICLES ACT,40
